report_id,event_desc
0551800,Employee injured when arm caught in block forming machine
0625700,EMPLOYEE FELL INTO RIVER AND DROWNED
1055320,Employee Fractures Leg in Forklift Accident
0950411,Employee Killed When Stacked Scaffolding Fell Over
0950621,Employee's wrist fractured in fall from truck bed
0317900,"Employee Falls, Strikes His Head and Dies Days Later"
0454510,Employee's fingers amputated in power press
0316300,Employee Drowns in Fall from Aircraft Carrier
0950622,Employee's thumb injured while sanding stock in lathe
0951510,ELECTRIC SHOCK & BURN - ELECTRICAL FAULT IN PANELBOARD
0552700,Employee killed by slug ejected from press
0854910,Employee injured when leg caught in pipe conveyor
0950644,Crane Falls on Employee's Head
0352450,Employee Is Injured When Pulled Into Conveyor System
0950622,Employee Sustains Brain Hemorrhage While in Training
0352450,Employee Killed When Forklift Tips Over
0950631,Employee's thumb severed by circular saw
0213600,Employee killed when struck by falling ceramic insulators
0355117,Employee Killed in Fall from Roof
0521400,FELL FROM ROOF
0521700,Employee killed when head caught between tanker and dolly
0134000,Employee's legs burned by falling load of macadam
0950652,Employee Fractures Shoulder in Fall from Truck
0950625,Employee Is Burned by Hot Water
1054115,Employee's hand crushed in potato patty forming machine
0950613,Employee fractures knee in fall from flatbed truck
0524700,Employee Injures Arm When Run over by Dump Truck
0418600,Employee is struck by knuckleboom log loader and dies
0625700,Employee dies of burns after combustible liquid ignites
0453710,Employee struck by boom or dump bed
0453730,Employee dies when struck by motor vehicle
0352420,EMPLOYEE FELL 27' FROM UNGUARDED PLATFORM TO CONCRETE FLOOR
0950615,Employee's Thumb Is Amputated by Circular Saw
0950633,Employee Is Injured When Struck by Board
0950644,Employee's hand crushed while cleaning molding machine
0352430,Five employees injured when a crane overturned
0111500,Employee Is Injured in Fall from Metal Deck
0352430,Employee dislocates shoulder in fall from lift truck
0352450,Employee is injured in fall while setting roof trusses
0352440,EMPLOYEE INJURED IN FALL FROM WINDOW
0950632,Landscaper Dies from Intracerebral Berry Aneurysm
0950631,Employee's thumb and finger amputated on radial saw
0950632,Employee injured when finger amputated in table saw
0453710,Two employees injured when struck by a steel pipe
0950411,Coworker Operating a Front End Loader Runs over Employee
0950643,Employee's fingers injured in oil rig accident
0418300,Employee killed when run over by backhoe
0453710,EMPLOYEE FLAGGING STRUCK BY TRUCK IS KILLED
0950623,Employee's fingertip amputated in walnut pickup machine
0751910,FINGER AMPUTATED BY CANDY CUTTING MACHINE
0950633,Employee Suffers Partial Amputation While Using Punch Press
0419700,ELECTRIC SHOCK - CONTACT WITH UNDERGROUND LINE THRU DIGGER
0854910,Employee dies from apparent heart attack
0950643,Employee Falls and Fractures Ankle
0950625,"Employee Finger Crushed, Amputated Between Pipe and Roller"
0155010,Employee injured when struck by falling piece of concrete
0627400,Employee killed when struck by counterweight of pumping unit
0551800,HAND CAUGHT IN FORMING MACHINE
0111500,Employee injured when aerial lift tips over
0336000,Employee's Fingers Are Amputated by Machine Roller
0524700,Employee's Fingers Are Amputated When Caught Between Rollers
0626300,"One employee dies, five others injured in bridge failure"
0950643,Worker's Two Fingers Amputated in Machine Accident
0626700,Employee killed in fall from roof
0215300,Employee Dies When Struck by Vehicle While Installing Cables
0950642,Employee Sustains Multiple Injuries When Load Falls
0950641,Employee Is Injured in Fall Through Elevator Shaft
0214200,Employee was struck by bulldozer
0316400,Employee killed when run over by truck
0950612,Employee's Eye Is Fractured Falling from Ladder
0352430,Employee Is Electrocuted by Overhead Power Line
0751910,Employee killed when caught between mast and chassis
0950641,Employee Is Injured When Struck by Falling Repair
0751910,CAUGHT IN DIE
0418600,Employee Crushed in Forklift Accident
0625400,Mechanic Is Killed While Repairing Bucket Loader
0552651,Trench Cave-in Partially Buries Two Employees
0418100,Employee killed in fall through unsecured decking
0626000,Employee's suffer burns due to a flammable vapor mixture
0950633,Employee Fractures Skull in Fall from Wooden Counter
0418300,Employee dies after being severely burned in explosion
0950651,"Steel Plate Falls, Fractures Sawmill Workers Leg"
0950623,EMPLOYEE CAUGHT A FINGER IN NIP POINT OF A MACHINE
0953210,Employee's fingers injured when caught by cable
0355112,Frie Department Worker Found Dead in Bunk House
0950644,Employee's foot crushed when run over by forklift
0214500,electric shock - direct contact with energized parts
0854910,EMPLOYEE STRUCK BY PIECE OF METAL PROPELLED BY TABLE SAW
0950625,Employee injured on the conveyor belt
0418300,Employee killed in trench cave-in
0418600,Construction Worker Dies after Fall from Elevation
1055310,Employee's foot severed when run over by loader truck
0950613,EMPLOYEE FRACTURED HEEL IN FALL FROM AERIAL LIFT BUCKET
0950612,Employee injures toes when crane boom falls
0950614,Employee Is Injured When Pinned Between Moving Parts
0830100,Employee Killed by Load Falling from Truck
0950633,Employee Is Injured in Fall from Ladder Into Dumpster
0950615,Welder's hand severely burned
1032500,ATV operator is beheaded
0524200,CONSTRUCTION EMPLOYEE CRUSHED BY FALLING PIECE OF CRANE BOOM
0454510,Employee's shoulder injured
0418800,EMPLOYEES KILLED AND INJURED WHEN LEAKING LP GAS EXPLODED
0950612,EMPLOYEE CUTS HIS FINGERS WITH A MACHINE BLADE
0950624,HAND INJURED IN TORTILLA MACHINE
0950643,Employee Sustains Multiple Fractures in Fall from Ladder
0854910,Employee Is Crushed and Killed by Forklift
0950632,Employee Is Injured When Struck by Metal Object
0552700,Employee electrocuted when boom contacts power line
0523400,Three Employees Are Burned by Electrical Arc Blast
0453710,Employee Is Injured When Struck by Broken Light Pole
0213900,EMPLOYEE KILLED IN MOTOR VEHICLE ACCIDENT
0854910,Employees sustain chemical burns while cleaning ovens
0931500,"Employee collapses while unloading truck, later dies"
0950631,Employee injured while operating miter saw
0552651,EMPLOYEE KILLED WHEN HE FELL THROUGH OPEN FLOOR HOLE
0950613,Employee's fingers amputated by table saw
0253680,Employee Suffers Heart Attack and Dies
0728500,Employee Is Killed in Balcony Collapse
0551800,Employee dies of asphyxiation in grain bin
0418300,Highway Cleanup Employee Is Struck and Killed by Car
0453710,EMPLOYEE STRUCK BY CRANE BOOM IS KILLED
0521100,Employee dies after falling from slipping ladder
0950623,Millwright killed when struck in head by outfeed kicker
0950643,Fall from Ladder
0751910,Employee is injured while operating molding machine
0950624,Employee Crushes and Fractures Foot with Forklift
1054112,Employee Is Struck by Falling Boxes and Is Killed
0950623,Two employees burned when dehydrator explodes
0950642,Employee's arm injured as he escaped collision
0950624,Employee's leg broken when forklift strikes pole
0352420,EMPLOYEE INJURED IN FALL FROM ROOF
0950614,Employee sustains fracture after falling from rolling-ladder
1055350,Employee dies after suffering heart attack
0453710,Employee's finger amputated in press's point of operation
0728900,Employee Amputates Fingertip Between Chain and Plate
0950641,Employee's Fingers Are Crushed in Lift Gate
0524700,ELECTRIC SHOCK - CONTACT WITH ENERGIZED PARTS IN MICROWAVE
0551800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED PARTS
1054111,Employee Dies When Top Section of Wall Falls on Her
0931800,EMPLOYEE STRUCK BY FLYING ROCK
0454712,Employee killed when impaled by tree branch
0355119,EMPLOYEE INJURED WHEN HAND CAUGHT  BETWEEN ROTATING SHAFTS
0419700,Employee injured in trench cave- in
0454510,Employee Is Killed in Order Picker Accident
0950614,Employee bruises hip in fall from ladder
0627410,Employee falls down stairs and dies
0950623,Employee injured by wheel when tractor started in gear
0751910,Employee's thumbs injured in power press
0551800,Employee is struck and killed by elevator
0454520,Employee killed when head pinned between forklift and door
0418800,Employee Is Injured When Struck with Dolly Cart; Later Dies
0950611,Employee's fingertip amputated by falling pipe casing
0950615,Employee Injures Ankle in Fall
0524500,Employee killed in fall from ladder
0625700,Employee killed when truck backs over him
0355111,Employee hospitalized in roller nip point injury
0950633,Employee Is Injured in Fall from Scaffold
0950642,Burn - Electric Drill Ignites Flammable Vapors
0625700,Employee Is Killed When Fork Lift Turns Over
0521700,2 EMPLOYEES ENTER TANK WITH O2 DEFICIENT AIR; 1 DIED
0950625,Employee's Finger Is Amputated by Conveyor Belt
0728500,"One killed, one injured when pole strikes power line"
0950644,Employee killed by falling car when jack fails
1054113,Employee Gets Fingers Smashed by Bander Machine
1054112,Employee injured when hand crushed by punch press
0551800,"One employee killed, six injured in ethylene oxide explosion"
0317000,Employee killed when leg is caught and severed in conveyor
0950621,Worker Exposed to Chemicals Dies of Cancer
0214500,Employee fractures skull in fall on steps; later dies
0524200,Employee struck and killed by auger
0950643,Employee injured when knocked from scaffold
0950625,Employee's fingers injured when caught in grape crusher
0522000,Employee Is Crushed Between Rail and Equipment and Killed
0524700,Employee Is Killed in Fall Through Hatch
0950631,Employee injured in fall through roof when panel breaks
0352440,Employee's hand injured by falling forklift mast
0453710,EMPLOYEE KILLED WHEN HE ENTERED A CONFINED SPACE
0950411,Employee Crushed and Killed by Forklift
1055350,"Employee Is Killed, Four Are Burned in Tank Fire"
0950632,Employee Is Struck by Cover and Suffers Arm Laceration
0355114,Employee is injured when buried in trench cave-in
0950613,Welder Burns Face with Welding Torch
0213900,Employee Is Killed in Fall from Fourth Floor
0626700,Employee is killed when struck by suspended load
0316400,THE TOP OF A DEAD TREE FELL ON AND CRUSHED EMPLOYEE
0214700,Employee killed when struck by trailer at loading dock
0213100,Five injured by acetone explosion and exposure to fumes
0950631,Employee Amputates Finger While Cutting Sprues
0627100,Employee Is Overcome by Nitrogen Gas and Dies
0854910,Mechanic killed when crushed by falling bus
0950623,Employee injures skull in fall from log deck
0950643,Employee's Finger Is Penetrated with Paint
0751910,Employee killed in fall from decking
0453710,Employee injured in fall from steeple
0355111,Employee killed in fall from floor landing
0950624,"Employee Faints, Falls and Strikes Head"
0626600,Painter killed in fall through skylight
0950614,Employee's leg broken when golf cart overturns
0950645,Employee not injured when power line energized
0521100,Surveyor killed when struck by out-of-control car
0950621,Employee injured when his finger tips were caught in machine
0950635,Employee is injured in fall from truck
0626600,Employee Is Struck and Killed by Unspecified Object
0552651,Employee Is Killed in Fall from Ladder
0950642,Employee suffers electrical burn servicing printer dryer
0418800,Employee killed when pulled under truck by tarp
0950642,Employee Injures Head
0355114,Employee's leg pinned by overturned forklift
0950614,Employee's finger partially amputated by meat cutter
0420600,CONSTRUCTION WORKER INJURED IN FALL FROM JOB MADE LADDER
0950644,Employee's finger amputated in wood shaper
0950643,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED PARTS
0454711,Elevator Technician Is Crushed While Working on Top of Cab
0950635,Employee Breaks Knee in Fall from Elevation
0950633,Employee killed when crushed by trusses
0950635,Employee injures head in fall from roof
0953220,Employee sustained fractured arm when struck by board
0950643,Employee Fractures Leg When He Went Inside A Packer
0420600,Employee Is Electrocuted When Truss Hits Power Line
0950614,Employee's eye injured by exposure to laser radiation
0418100,Two employees injured in scaffold collapse
0521700,Employee killed in fall from roof
0950621,Employee fractured hip when ladder fell to the ground
0854910,Employee's hand injured when caught in press pinch point
0950622,Employee injured when nail gun discharges into chest
0950623,Employee burned when flash fire erupts in burn barrel
0352440,CONSTRUCTION EMPLOYEE KILLED IN FALL FROM LADDER
0950631,Employee's fingers amputated by grinder blades
0552700,CAUGHT IN MOLDING MACHINE POINT OF OPERATION
0830500,Employee is killed in forklift accident
0627100,Employee killed in fall from telecommunications tower
0950633,Employee's Finger Is Injected by Hydraulic Fluid and Injured
0950642,Employee Is Injured in Rotary Molder Machine
0522500,electric shock - direct contact with energized parts
0729700,Employee dies of suffocation in cotton seed bin
0950613,Employee killed when struck by iron pipe
0950645,Employee injured in fall from ladder
0418400,Employee killed when tree limb punctures chest
0854910,FOOT CAUGHT IN THE TAIL PULLEY OF A CONVEYOR BELT
0215800,Employee's finger amputated by grinding wheel
0524530,Friend Assisting Zoo Owner Dies after Attack by Black Bear
0950645,Employee injured in 10 ft fall through skylight
1055330,Employee Died After Having A Heart Attack
0950613,"Employee Is Crushed Between Truck and Dumpster, Later Dies"
0352420,BURN - ELECTRICAL FAULT IN VOTAGE TESTER
0626700,"One Employee Is Killed, Two Are Injured by Runaway Truck"
0336000,Employee killed when struck by falling lodged tree
0454510,Light Fixture Shocks Worker
0521400,ELECTRICAL EXPLOSION - ELECTRICAL FAULT IGNITED COMBUST DUST
0729300,Employee Picks Up Wire and Is Electrocuted and Is Killed
0355115,Employee killed in fall from moving vehicle
0552651,TWO EMPLOYEES INJURED IN FALL FROM ELEVATION
1054116,Employees burned in propane flash
0418600,Employee killed when crushed by lodged tree
0950645,Employee injured in fall from roof edge
0950625,Employee crushed when tractor overturned into river
0950633,Employee's fingers partially amputated by machine
0950643,Employee Is Electrocuted and Killed While Using Power Line
0419400,Employee killed by falling tree
0951510,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM
0453710,"Employee Falls Through Joist, Injures Vertabrae"
0950635,Employee Amputates Finger When Caught in Belt Drive
0336000,Employee's Legs Are Amputated by Falling Object
1055340,Employee killed in tractor roll-over
0950631,Employee Is Injured in Fall From Elevation
1055320,Employee dies in scissor lift upset
0453710,Employee burned with sulfuric acid on head and face
0419400,Employee Dies from Apparent Suicide
1032500,Employee killed when struck by steel pipes
0830500,Trucking Employee Is Found Dead Beneath Semi Trailer Tires
0950615,Employee sustains fracture after misjudging steps
0625700,"One killed, two injured when broadcast tower collapses"
0950644,Employee's finger lacerated by plastic plug
0524200,EMPLOYEE KILLED BY PAPER BALER
1054112,Employee's back lacerated backing into battery charger
0524500,Worker Dies in Fall from Height
0950622,Employee injured when struck by trailer
0950622,Employee injured when trench caves in
0111500,Employee killed when caught between pieces of machinery
0524700,Employee Is Caught Between Machine Parts and Injured
0452110,Employee Dies in Wall Collapse
0950621,Employee's foot injured between rack and pallet jack
0625700,Employee Dies in Piping Accident
0523300,Employee killed when crushed under tractor
0418200,Employee Is Killed When Pulled Into Rotating Cable Reel
0352440,Employee injured while walking backward and falling
0950644,EMPLOYEE SUFFERS SNAKE BITE
0950411,Employee Is Killed When Run over by Vehicle
0552651,Property damage
0521400,Employee Is Burned When Wall of Mulch Collapses
0935000,Employee killed when struck by falling steel and plywood
0728900,Employee Sustains Laceration When Struck by Falling Load
0355114,Employee dies after fall from ladder
0626000,Employee drowns after falling through top of tank
0551800,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU CONVEYOR
0950615,Fire Buns Employee When Sparks Ignite Open Fuel Container
0355110,Employee Dies after Being Struck by Falling Drill Pipe
0950641,Employee burned when clothing ignites in explosion and fire
0111700,EMPLOYEE INJURED WHEN AERIAL LIFT OVERTURNED
0355112,Employee Is Asphyxiated after Fall Into Pit
0751910,LITTLE FINGER OF LEFT HAND CRUSHED BY ROLLERS
0950642,Employee's fingertip amputated by lawn mower blade
0950641,Employee Fractures Shoulder When Caught Between Bins
0728500,ELECTRIC SHOCK & BURN - CONTACT WITH OVERHEAD LINE THRU BOOM
0950611,Employee injured in fall through skylight
0950613,Employee's Back Is Fractured in Fall from Truck
0454510,Employee dies of infection after fingers cut in lint cleaner
0854910,Employee injured when nail gun discharges
1054113,EMPLOYEE'S FINGER CAUGHT IN MIXER
0950622,Employee Is Injured in Fall from Unsecured Truck Ramp
1054115,Employee Fractures Legs When Caught Between Truck and Loader
0950645,Employees injured when scaffolding collapses
0950624,Employee's Hand Is Burned by Heat Bar
0751910,Employee's Finger Is Amputated by Fan Belt
0950621,Employee burned from hot oil spill
0453730,Worker Felling Trees Struck by Falling Branch and Killed
0453720,Employee Seriously Burned in Explosion
0950635,Employee injured in fall from trolley ladder
0950642,Employee crushes foot in palletizer apron
0213900,Employee injured when hand amputated by blade roller
0751910,Employee's finger amputated in band saw
0454510,Employee bruised in fall from bosun chair
0950621,Conveyor Roller Amputates Employee's Finger
0950631,Employee injured while using table saw
1055320,Employee killed in motorcycle crash
0950642,Employee arm fractured when pulled into rotating shaft
0453710,Employee killed in 15 ft fall to concrete floor
0111100,Employee drowns when loader is washed into river
0551800,Five Employees Are over Exposed to Carbon Monoxide
0950635,Employee dies at work station of natural causes
0953220,Three Employees Are Potentially Exposed to Ricin
0453730,Employee killed in fall after epileptic seizure
0454713,CARNIVAL EMPLOYEE THROWN TO PAVEMENT BY FALLING AIR-LIFT
0552651,Employee Is Killed in Fall from Floor Opening
0950621,Employee fractures back in fall from column
0419400,Employee killed in fall from roof of grain bin
0418800,Employee dies when struck by falling tie beam
0551800,Employee Dies of Head Injuries Due to Possible Heart Failure
0950643,Employee injured while moving a lift
0453710,EMPLOYEE KILLED IN FALL THROUGH PLEXIGLASS SKYLIGHT
0352430,Construction Worker Fractures Neck in Fall from Ladder
0953210,Employee injured when caught in washing machine
0950614,Employee falls from a ladder while cleaning windows
0950633,"Duct Work Falls, Strikes and Fractures a Workers Ankle"
0317500,Employee injured when struck by falling steel plate
0950411,Employee Is Electrocuted While Installing Light Pole
0950641,Employee injured when caught between two fleet service tugs
1032500,Employee killed when struck by seed box
0418800,EMPLOYEE STRUCK AND KILLED BY BEAM WHICH FELL FROM TRUCK
0523100,EMPLOYEE KILLED WHEN STRUCK ON HEAD BY PIPE FITTINGS
0213900,Two Farmers Killed When Struck by Tractor
0626300,Employee electrocuted while troubleshooting circuit
0453710,Five employees burned in wood silo fire/explosion
0213400,Employee dies of coronary artery disease
0728900,Employee killed when struck by lightning
0352440,Employee Falls From a Scaffold and Suffers Concussion
0521400,Employee Is Injured in Fall from Roof
0453710,Employee killed when struck by falling tree
0950613,Employee's Fingers Are Amputated by Table Saw
1054118,Employees arm crushed in tumbler
0854910,Employee injured when elevated work platform overturns
0214500,Employee killed when struck by vehicle on highway
0214700,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU LOAD LINE
0950635,Employee injured after striking pole with trailer
1054114,Employe falls from ladder
0950411,Employee killed in trench cave-in
0552651,Employee injured in fall from roof when chute collapses
0636900,Employee killed when crushed by rolling tank
0830100,Employee killed when rolling tree causes him to strike head
0950624,Roofer Suffers Heat-Related Seizure
0830600,"One employee killed, one injured while flagging traffic"
0950411,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED PARTS
0854910,Employee crushed by car and truck
0950632,Worker Fractures Elbow in Fall from Balance Trainer
0950621,Employee breaks back in fall from porch
0418200,Employee killed when crushed between truck and a trailer
0950635,Employee breaks ankle in fall after tripping
0552651,Employee Fall 475 Feet Off Tower
0627100,Employee Upper Body Crushed
0111500,Employee Fractures Heel in Fall from Ladder
0552700,Employee Dies from Asphyxia in Bin When Engulfed by Grain
0552651,Employee injured from 27 ft fall from scaffolding
0418600,ELECTRIC SHOCK - DIRECT CONTACT WITH OVERHEAD LINE
0751910,Employee Amputates Finger in Saw
0521400,Employee Is Killed in Fall from Work Platform
0950643,Employee Receives Burns from Tar Splash
0950621,Employee injured in fall onto beet conveyor in pit
1055350,Employee killed under mist blower
0950625,Employee's leg fractured when struck by forklift
0950641,Employee injured when splashed with aqueous ammonia
0454712,Employee Run Over by Tractor Trailer and Killed
0950631,Employee Is Killed When Run over by Tow Truck
0950643,Employee breaks leg in fall from ladder
0950644,Two employees treated for carbon monoxide exposure
0950624,Employee's finger amputated in gizzard machine
0950611,Employee Receives Injuries in Fall from Scaffold
0521700,Employee Falls from Upper Level
0355112,Employee killed in oil tanker fire
0625700,Shipfitter Killed When Tank Explodes
0950624,Employee falls and is burned by hot cooking oil
0355119,EMPLOYEE STRUCK AND KILLED BY FALLING POPLAR LOG
0454700,ELECTRIC SHOCK - DIRECT CONTACT WITH OVERHEAD LINE
0950613,Carpenter Is Injured in Fall While Framing House
0355114,EMPLOYEE INJURED BACK DUE TO FALL FROM STAIRS
0729700,Employee killed when crushed by falling steel plates
0950643,Employee falls after tripping over sprinkler pipe
0950625,EMPLOYEES EXPOSED TO AMMONIA DURING SPILL
0453730,Worker Injured When Puleed Into a Moving Cotton Card Machine
0950625,"One employee killed, one injured when drum explodes"
0552652,"Employee Falls and Strikes Head, Later Dies"
0950633,"Employee Is Pinned by Atv, Fractures Ankle"
1032700,Employee killed when crushed by rail-mounted crane
0352410,Employee injured when caught in machinery
0551800,EMPLOYEE KILLED WHEN CAUGHT IN MECHANICAL POWER PRESS
0950633,Employee Injured When Concrete Lid Falls
0524500,Employee Is Killed When Loader Is Driven Into Pond
0626600,CAUGHT BY ROTATING SHAFT
0751910,Employee's finger amputated by saw
0111400,Employee killed when flammable product explodes
0420600,Employee killed when burned by hot liquid
0522500,Butcher Amputates Two Fingers on Hobart Vertical Meat Saw
0213100,Employee killed when overcome by smoke in fire
0830100,Employee burned when propane tank explodes
0728900,Worker Is Electrocuted While Erecting Grain Bin
0522300,Employee dies of heart attack
0112000,"Excavator Driver Backs Up, Kills Employee"
0521700,Employee Is Struck and Killed
0950632,Employee's Leg Burned From Splash Of Hot Oil
0213900,SMOKE INHALATION
1055350,Employee struck by tree
0950633,Employee injured in fall from stepladder
0751910,Employee's Legs Are Amputated by Railcar
0950641,Employee's hand fractured in conveyor
0453710,Three Employees Are Injured in Work Platform Collapse
0751910,"One employee killed, one burned by ruptured propane pipeline"
0950614,Employee Is Injured in Fall from Auger Trough
0317900,Employee killed in fall through floor opening
0728900,Employee Is Injured by Radial Arm Saw Cutting Pallets
0950643,Employee Amputates Finger in a Shot Gun Mishap
1054112,Employee Sustains Concussion When Struck by Falling Object
0950652,BURN - ELECTRICAL FAULT IN ENCLOSURE
0950632,Employee Is Injured on Loading Dock
0854910,Employee's fingers amputated in revolving blades of grinder
0950611,Firefighter Is Struck by Falling Ceiling in Building Fire
0950635,Employee's legs fractured when van tips off auto lift
0950645,THREE EMPLOYEES INJURED IN GAS EXPLOSION AND FIRE
0950631,EMPLOYEE DROPPED TRAILER TONGUE ON HIS FOOT
0213100,EMPLOYEE FELL THROUGH ROOF OPENING
0950411,Employee Is Killed When Run over by Asphalt Truck
0155010,Employee injured when hand and arm caught in auger
0950633,Employee's finger amputated by running screw auger
0453710,Employee killed when struck by overinflated tire
0112000,ELECTRIC SHOCK - GROUND FAULT IN ELECTRIC MOTOR
0627100,Employee Dies When Pinned Under Mower
0134000,Employee Fractures Head in Fall Through Open Stairwell
0454510,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU TREE BRANCH
0454510,"Employee Is Struck by Forklift, Sustains Serious Injuries"
0950633,Employee Amputates Finger When Handle Falls on It
0950643,Employee Cleaning Exterior Side of Window Is Killed in Fall
0653510,Employee Is Killed When Stuck by Falling Evaporator
0316120,Employee injured in fall from scissor lift
0522000,Employee killed when caught in mixing churn
0355114,BURN - ELECTRICAL FAULT IN SUBSTATION
0454714,STRUCK ON HEAD BY FALLING DISLODGED TREE
0355114,STRUCK BY CRANE BOOM ON LATTICE BOOM TRUCK
0950643,Employee Is Crushed Between Tractor and Trailer
0523300,EMPLOYEE DIES WHEN  HEAD CRUSHED WHILE RETRIEVING TOOL
0522300,Employee struck and killed by exploding tire and rim
1054116,"Two Employees Are Struck by Log, One Sustains Fractures"
0950642,EMPLOYEE'S FINGER AMPUTATED WHEN PUNCH PRESS SMASHES HAND
0551800,EMPLOYEE AMPUTATES FINGERTIPS IN PUNCH PRESS
0950641,Employee exposed to chlorine gas
0551800,Employee dies from hot water burns
0627100,Employee Is Killed in Fall from Communication Tower
0213900,9 EMPLOYEES HOSPITALIZED BECAUSE OF EXPOSURE TO TOXIC FUMES
0419400,Employee killed when struck by uprooted tree
0950627,Employee died as a result of heart failure
0626600,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM
0950642,Employee injured when struck by forklift extension
0625700,Employee Is Killed When Struck by Flying Object
1050210,Employee killed when crushed between logs and log clamp
0627400,EMPLOYEE IS STRUCK BY EXPLODING PIPE NIPPLE
0111500,Employee Is Injured in Fall from Ladder
1055320,Employee dies of apparent heart attack
0418300,Employee dies one day after struck by falling tree
0951510,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM
0552700,FALL - CHAIN SAW CUT SUPPORT LANYARD
0950633,Employee Suffers from Heat Exhaustion
0420600,Employees injured in roof slab collapse
0950632,ELECTRIC SHOCK & FALL - CONTACT WITH ENERGIZED PARTS
0950621,Employee Breaks Ankle in Scaffold Collapse
0625700,Four employees injured when heat exchanger ruptures
0522000,Employee Suffers Broken Ribs And Arm
0626700,Employee Dies of Heart Attack in Parking Lot
0950642,Employee injured when hit with steel pipe
1054115,Employee injured due to fall from scaffold
0253640,"Employee Is Found Dead, Hanging with Noose over Head"
0355112,ELECTRIC SHOCK - DIRECT CONTACT WITH OVERHEAD LINE
0551800,EMPLOYEE KILLED IN FALL FROM SCAFFOLD
